Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0022022022022022024,2.0884252778002792e-05,0.0020884252778002794,0.008763354873203011,0.0001603102672844358
0.002212212212212212,2.1060005034934294e-05,0.0021060005034934295,0.008793730851941644,0.00016241837589654133
0.0022222222222222222,2.1236363822482918e-05,0.002123636382248292,0.00882402848590613,0.00016454413804093405
0.0022322322322322324,2.141332749763584e-05,0.002141332749763584,0.008854247872400712,0.0001666876142669236
0.002242242242242242,2.159089441738024e-05,0.002159089441738024,0.008884389108729627,0.00016884886495935404
0.0022522522522522522,2.1769062938703322e-05,0.0021769062938703323,0.008914452292197122,0.00017102795033860366
0.0022622622622622624,2.1947831418592266e-05,0.0021947831418592267,0.008944437520107438,0.00017322493046058484
0.002272272272272272,2.2127199049795405e-05,0.0022127199049795402,0.0089743448755751,0.0001754398653004042
0.0022822822822822822,2.230716523620608e-05,0.002230716523620608,0.009004174438129788,0.0001776728147734979
0.0022922922922922924,2.2487728420462576e-05,0.0022487728420462574,0.009033926303621537,0.00017992383863941005
0.002302302302302302,2.2668887043413752e-05,0.002266888704341375,0.009063600567930772,0.0001821929965016136
0.0023123123123123123,2.2850639545908487e-05,0.0022850639545908486,0.009093197326937915,0.00018448034780751035
0.0023223223223223224,2.303298436879563e-05,0.002303298436879563,0.009122716676523389,0.0001867859518484308
0.002332332332332332,2.321591995292404e-05,0.002321591995292404,0.009152158712567613,0.0001891098677596344
0.0023423423423423423,2.3399444739142595e-05,0.0023399444739142594,0.009181523530951013,0.00019145215452030936
0.0023523523523523524,2.358355716830015e-05,0.002358355716830015,0.00921081122755401,0.00019381287095357263
0.002362362362362362,2.3768255681245558e-05,0.0023768255681245556,0.009240021898257024,0.00019619207572647008
0.0023723723723723723,2.39535387188277e-05,0.00239535387188277,0.009269155638940482,0.0001985898273499764
0.0023823823823823824,2.413940472189543e-05,0.002413940472189543,0.009298212545484803,0.00020100618417899494
0.002392392392392392,2.4325852131297604e-05,0.0024325852131297605,0.009327192713770409,0.000203441204412358
0.0024024024024024023,2.4512879387883098e-05,0.00245128793878831,0.009356096239677723,0.0002058949460928268
0.0024124124124124124,2.470048493250077e-05,0.002470048493250077,0.009384923219087168,0.00020836746710709112
0.002422422422422422,2.488866720599947e-05,0.002488866720599947,0.009413673747879164,0.00021085882518576975
0.0024324324324324323,2.507742464922808e-05,0.002507742464922808,0.009442347921934137,0.00021336907790341021
