,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_10,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
310,run_2025-08-31_18-40-45,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,12,28,3,3,24,,,,,54.43103937616299,19,function_IEEE_14
363,run_2025-08-31_19-40-43,config_2,7,2,0.9,2,5,0.8,20,1,10,0.2,50,,16,30,9,9,4,,,,,54.43103937616299,10,function_IEEE_14
345,run_2025-08-31_19-10-42,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,5,6,20,5,14,,,,,54.87585225315051,11,function_IEEE_14
258,run_2025-08-31_16-34-49,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,21,22,21,25,27,,,,,55.82944423995509,19,function_IEEE_14
265,run_2025-08-31_16-34-49,config_4,7,4,0.9,2,5,0.05,20,1,10,0.2,50,,11,27,17,11,13,,,,,56.25326824896688,0,function_IEEE_14
206,run_2025-08-31_15-58-02,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,21,2,21,12,23,,,,,57.15825098945236,11,function_IEEE_14
192,run_2025-08-31_15-58-02,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,20,27,13,20,3,,,,,58.68755728818169,18,function_IEEE_14
346,run_2025-08-31_19-10-42,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,28,27,28,5,28,,,,,58.69898994519315,1,function_IEEE_14
204,run_2025-08-31_15-58-02,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,11,0,20,11,31,,,,,59.03797325202582,-1,function_IEEE_14
319,run_2025-08-31_18-40-45,config_4,5,4,0.9,2,5,0.05,20,1,10,0.2,50,,25,20,25,11,5,,,,,59.43358989933601,9,function_IEEE_14
249,run_2025-08-31_16-34-49,config_2,5,2,0.9,2,5,0.8,20,1,10,0.2,50,,1,29,17,17,23,,,,,60.64886384813624,2,function_IEEE_14
288,run_2025-08-31_17-05-38,config_4,2,4,0.9,2,5,0.05,20,1,10,0.2,50,,26,12,18,18,13,,,,,61.15014540945909,19,function_IEEE_14
318,run_2025-08-31_18-40-45,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,28,9,17,17,10,,,,,61.15014540945909,18,function_IEEE_14
282,run_2025-08-31_17-05-38,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,0,13,18,18,8,,,,,61.25000619402747,17,function_IEEE_14
173,run_2025-08-29_22-31-32,config_2,3,2,0.9,2,10,0.8,20,1,10,0.2,50,13,0,13,28,0,8,21,28,7,8,61.25866289953512,7,function_IEEE_30
342,run_2025-08-31_19-10-42,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,27,20,6,6,27,,,,,61.26611816903755,10,function_IEEE_14
368,run_2025-08-31_19-40-43,config_3,5,3,0.9,2,5,0.1,20,1,10,0.2,50,,12,22,0,12,0,,,,,61.54403134367764,15,function_IEEE_14
292,run_2025-08-31_17-05-38,config_4,6,4,0.9,2,5,0.05,20,1,10,0.2,50,,10,20,10,20,29,,,,,62.0387314712771,19,function_IEEE_14
229,run_2025-08-31_16-04-07,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,16,3,3,16,3,,,,,62.07743894704315,19,function_IEEE_14
175,run_2025-08-29_22-31-32,config_2,5,2,0.9,2,10,0.8,20,1,10,0.2,50,29,24,24,30,17,30,25,30,24,25,62.69291211683719,15,function_IEEE_30
362,run_2025-08-31_19-40-43,config_2,6,2,0.9,2,5,0.8,20,1,10,0.2,50,,7,16,21,31,16,,,,,62.7618739320797,19,function_IEEE_14
377,run_2025-08-31_19-40-43,config_4,7,4,0.9,2,5,0.05,20,1,10,0.2,50,,13,13,20,27,22,,,,,62.76187393207971,3,function_IEEE_14
283,run_2025-08-31_17-05-38,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,20,24,7,0,20,,,,,62.76187393207987,7,function_IEEE_14
233,run_2025-08-31_16-04-07,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,20,8,13,28,20,,,,,62.91458121309608,13,function_IEEE_14
257,run_2025-08-31_16-34-49,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,20,9,14,0,10,,,,,63.11044821238615,17,function_IEEE_14
290,run_2025-08-31_17-05-38,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,27,27,19,2,9,,,,,63.21030899695464,9,function_IEEE_14
284,run_2025-08-31_17-05-38,config_3,5,3,0.9,2,5,0.1,20,1,10,0.2,50,,10,2,17,27,2,,,,,63.22642097196466,13,function_IEEE_14
291,run_2025-08-31_17-05-38,config_4,5,4,0.9,2,5,0.05,20,1,10,0.2,50,,4,24,13,30,6,,,,,63.26315549340264,11,function_IEEE_14
231,run_2025-08-31_16-04-07,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,31,13,18,25,2,,,,,63.36301627797087,15,function_IEEE_14
208,run_2025-08-31_15-58-02,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,28,10,18,28,17,,,,,63.7841678053763,10,function_IEEE_14
227,run_2025-08-31_16-04-07,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,5,26,22,31,22,,,,,63.91660423326631,19,function_IEEE_14
201,run_2025-08-31_15-58-02,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,14,22,7,29,22,,,,,64.01259582259942,1,function_IEEE_14
234,run_2025-08-31_16-04-07,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,31,13,2,25,20,,,,,64.16530310361573,10,function_IEEE_14
293,run_2025-08-31_17-05-38,config_4,7,4,0.9,2,5,0.05,20,1,10,0.2,50,,0,22,7,31,15,,,,,64.16530310361573,10,function_IEEE_14
72,run_2025-08-29_09-31-38,config_4,3,4,0.9,2,10,0.5,20,1,10,0.2,50,19,10,25,24,24,26,25,10,30,26,64.36583496108256,16,function_IEEE_30
365,run_2025-08-31_19-40-43,config_3,2,3,0.9,2,5,0.1,20,1,10,0.2,50,,18,1,9,29,2,,,,,64.47714286248429,19,function_IEEE_14
261,run_2025-08-31_16-34-49,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,27,27,11,0,17,,,,,65.09527597172693,10,function_IEEE_14
286,run_2025-08-31_17-05-38,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,12,31,12,29,5,,,,,65.0979524503417,19,function_IEEE_14
235,run_2025-08-31_16-04-07,config_4,5,4,0.9,2,5,0.05,20,1,10,0.2,50,,19,27,19,2,20,,,,,65.4933345011864,19,function_IEEE_14
280,run_2025-08-31_17-05-38,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,6,17,16,16,26,,,,,67.79923677340395,0,function_IEEE_14
263,run_2025-08-31_16-34-49,config_4,5,4,0.9,2,5,0.05,20,1,10,0.2,50,,21,4,1,1,17,,,,,68.30238192444251,19,function_IEEE_14
172,run_2025-08-29_22-31-32,config_2,2,2,0.9,2,10,0.8,20,1,10,0.2,50,31,31,31,3,3,20,18,3,31,11,70.18824480255118,18,function_IEEE_30
57,run_2025-08-29_09-31-38,config_2,2,2,0.9,2,10,0.5,20,1,10,0.2,50,12,23,29,28,23,29,0,11,29,29,70.29502002498131,19,function_IEEE_30
